NUMBER,ENGLISH_WORD,POS,NUMBER_OF_TRANSLATIONS,AMBIGUITY,AMBIGUITY_SOURCE
441,war,noun,1,Unambiguous,
415,warmth,noun,1,Unambiguous,
334,watch,noun,3,Ambiguous,Form and Meaning
334,watch,verb,3,Ambiguous,Form and Meaning
334,watch,noun,3,Ambiguous,Form and Meaning
505,water,noun,1,Unambiguous,
211,wave,noun,6,Ambiguous,Form and Meaning
211,wave,noun,6,Ambiguous,Form and Meaning
211,wave,verb,6,Ambiguous,Form and Meaning
211,wave,noun,6,Ambiguous,Form and Meaning
211,wave,noun,6,Ambiguous,Form and Meaning
211,wave,verb,6,Ambiguous,Form and Meaning
495,weakness,noun,5,Ambiguous,Meaning
495,weakness,noun,5,Ambiguous,Meaning
495,weakness,adjective,5,Ambiguous,Meaning
495,weakness,noun,5,Ambiguous,Meaning
495,weakness,noun,5,Ambiguous,Meaning
529,west,noun,5,Ambiguous,Form and Meaning
529,west,adjective,5,Ambiguous,Form and Meaning
529,west,noun,5,Ambiguous,Form and Meaning
529,west,noun,5,Ambiguous,Form and Meaning
529,west,adjective,5,Ambiguous,Form and Meaning
242,wet,adjective,3,Ambiguous,Form
242,wet,adjective,3,Ambiguous,Form
242,wet,adjective,3,Ambiguous,Form
40,whale,noun,2,Ambiguous,Form
40,whale,noun,2,Ambiguous,Form
536,wheel,noun,3,Ambiguous,Form
536,wheel,noun,3,Ambiguous,Form
536,wheel,noun,3,Ambiguous,Form
314,will,verb,7,Ambiguous,Form and Meaning
314,will,adverb,7,Ambiguous,Form and Meaning
314,will,adverb,7,Ambiguous,Form and Meaning
314,will,noun,7,Ambiguous,Form and Meaning
314,will,noun,7,Ambiguous,Form and Meaning
314,will,noun,7,Ambiguous,Form and Meaning
314,will,verb,7,Ambiguous,Form and Meaning
240,wind,noun,1,Unambiguous,
542,window,noun,2,Ambiguous,Form
542,window,noun,2,Ambiguous,Form
315,wing,noun,2,Ambiguous,Meaning
315,wing,noun,2,Ambiguous,Meaning
464,winter,noun,3,Ambiguous,Form
464,winter,noun,3,Ambiguous,Form
464,winter,noun,3,Ambiguous,Form
366,wire,noun,2,Ambiguous,Meaning
366,wire,noun,2,Ambiguous,Meaning
277,wisdom,noun,2,Ambiguous,Meaning
277,wisdom,noun,2,Ambiguous,Meaning
197,wish,noun / verb,2,Ambiguous,Form
197,wish,noun / verb,2,Ambiguous,Form
239,wolf,noun,1,Unambiguous,
235,woman,noun,2,Ambiguous,Meaning
235,woman,noun,2,Ambiguous,Meaning
362,wood,noun,3,Ambiguous,Form
362,wood,noun,3,Ambiguous,Form
362,wood,noun,3,Ambiguous,Form
310,word,noun,2,Ambiguous,Form
310,word,noun,2,Ambiguous,Form
29,world,noun,1,Unambiguous,
203,worth,noun,2,Ambiguous,Form
203,worth,noun,2,Ambiguous,Form
416,year,noun,1,Unambiguous,
101,youth,adjective,5,Ambiguous,Form and Meaning
101,youth,adjective,5,Ambiguous,Form and Meaning
101,youth,noun,5,Ambiguous,Form and Meaning
101,youth,noun,5,Ambiguous,Form and Meaning
101,youth,noun,5,Ambiguous,Form and Meaning
