ENGLISH_WORD,NUMBER_OF_TRANSLATIONS,AMBIGUITY,AMBIGUITY_SOURCE,AOA,CNC,FAM,CPOS,IMG,KFFRQ,NLET,NPHN,NSYL,LOG_KFREQ,logstl,logcheck,roundq,roundr,
RUMOUR,5,Ambiguous,Form,461,311,503,NV,353, ,6,4,2,#VALUE!,2.18 ,2.18 ,2.18 ,2.18 ,
SACRIFICE,2,Ambiguous,Meaning,,,,NV,,30,9,8,3,1.477121255,2.96 ,2.96 ,2.96 ,2.96 ,
SAIL,2,Ambiguous,Meaning,,567,504,NV,597,12,4,3,1,1.079181246,2.85 ,2.85 ,2.85 ,2.85 ,
SALE,0,None,None,,364,555,N,422,44,4,3,1,1.643452676,3.11 ,3.11 ,3.11 ,3.11 ,
SALT,1,Unambiguous,Unambiguous,233,594,612,JNV,570,46,4,4,1,1.662757832,3.00 ,3.00 ,3.00 ,3.00 ,
SAUCE,3,Ambiguous,Form,258,576,522,N,569,20,5,3,1,1.301029996,2.90 ,2.90 ,2.90 ,2.90 ,
SAUCER,0,None,None,,606,533,N,544,,6,4,2,#NUM!,,2.15 ,0.00 ,2.15 ,0
SCANDAL,1,Unambiguous,Unambiguous,,,,N,,8,7,6,2,0.903089987,2.62 ,2.62 ,2.62 ,2.62 ,
SCAR,2,Ambiguous,Form,,552,529,NV,565,10,4,3,1,1,2.64 ,2.64 ,2.64 ,2.64 ,
SCARF,1,Unambiguous,Unambiguous,,,,NV,,4,5,4,1,0.602059991,2.38 ,2.38 ,2.38 ,2.38 ,
SCIENCE,1,Unambiguous,Unambiguous,458,366,577,,423,131,7,,1,2.117271296,3.28 ,3.28 ,3.28 ,3.28 ,
SCISSORS,1,Unambiguous,Unambiguous,,596,559,N,609,1,8,5,2,0,2.53 ,2.53 ,2.53 ,2.53 ,
SEA,3,Ambiguous,Form,,596,537,N,606,95,3,2,1,1.977723605,3.48 ,3.48 ,3.48 ,3.48 ,
SEASON,1,Unambiguous,Unambiguous,328,445,565,NV,495,105,6,4,2,2.021189299,3.21 ,3.21 ,3.21 ,3.21 ,
SHAME,4,Ambiguous,Both,367,287,534,NV,419,21,5,3,1,1.322219295,3.33 ,3.33 ,3.33 ,3.33 ,
SHAPE,2,Ambiguous,Form,303,452,575,NV,471,85,5,3,1,1.929418926,3.19 ,3.19 ,3.19 ,3.19 ,
SHARK,1,Unambiguous,Unambiguous,,611,516,N,602,,5,3,1,#NUM!,2.88 ,2.88 ,2.88 ,2.88 ,
SHEEP,2,Ambiguous,Form,,622,507,N,596,23,5,3,1,1.361727836,2.84 ,2.84 ,2.84 ,2.84 ,
SHEET,5,Ambiguous,Both,251,608,616,NV,594,45,5,3,1,1.653212514,2.77 ,2.77 ,2.77 ,2.77 ,
SHOE,2,Ambiguous,Form,,600,569,NV,601,14,4,2,1,1.146128036,3.19 ,3.19 ,3.19 ,3.19 ,
SHOP,3,Ambiguous,Both,236,549,615,NV,561,63,4,3,1,1.799340549,3.44 ,3.44 ,3.44 ,3.44 ,
SHORTAGE,2,Ambiguous,Form,414,353,554,N,405,16,8,5,2,1.204119983,2.13 ,2.13 ,2.13 ,2.13 ,
SHOULDER,2,Ambiguous,Form,264,589,553,NV,577,61,8,5,2,1.785329835,3.13 ,3.13 ,3.13 ,3.13 ,
SHY,2,Ambiguous,Form,,,,JNV,,13,3,2,1,1.113943352,2.97 ,2.97 ,2.97 ,2.97 ,
SIGN,6,Ambiguous,Both,,520,543,NV,534,94,4,3,1,1.973127854,3.83 ,3.83 ,3.83 ,3.83 ,
SIGNATURE,2,Ambiguous,Meaning,,,,N,,6,9,8,3,0.77815125,2.79 ,2.79 ,2.79 ,2.79 ,
SILENCE,5,Ambiguous,Both,333,352,570,NV,470,52,7,6,2,1.716003344,3.11 ,3.11 ,3.11 ,3.11 ,
SILK,3,Ambiguous,Meaning,,538,482,N,510,12,4,4,1,1.079181246,2.70 ,2.70 ,2.70 ,2.70 ,
SILVER,2,Ambiguous,Meaning,317,564,528,NV,582,29,6,5,2,1.462397998,3.21 ,3.21 ,3.21 ,3.21 ,
SIMPLICITY,2,Ambiguous,Form,,,,N,,16,10,10,4,1.204119983,1.85 ,1.85 ,1.85 ,1.85 ,
SIN,1,Unambiguous,Unambiguous,400,273,501,NV,441,53,3,3,1,1.72427587,2.91 ,2.91 ,2.91 ,2.91 ,
SISTER,2,Ambiguous,Meaning,,575,588,N,613,38,6,5,2,1.579783597,3.96 ,3.96 ,3.96 ,3.96 ,
SIZE,3,Ambiguous,Both,,354,566,NV,415,138,4,3,1,2.139879086,3.37 ,3.37 ,3.37 ,3.37 ,
SKILL,5,Ambiguous,Both,414,346,549,N,366,42,5,4,1,1.62324929,2.61 ,2.61 ,2.61 ,2.61 ,
SKIN,1,Unambiguous,Unambiguous,,614,591,NV,638,47,4,4,1,1.672097858,3.35 ,3.35 ,3.35 ,3.35 ,
SKIRT,1,Unambiguous,Unambiguous,258,614,551,NV,573,21,5,4,1,1.322219295,2.71 ,2.71 ,2.71 ,2.71 ,
SKY,2,Ambiguous,Form,,542,607,NV,618,58,3,3,1,1.763427994,3.36 ,3.36 ,3.36 ,3.36 ,
SLAVE,4,Ambiguous,Both,386,539,418,NV,564,30,5,4,1,1.477121255,2.97 ,2.97 ,2.97 ,2.97 ,
SLEEVE,3,Ambiguous,Form,272,587,560,N,550,11,6,4,1,1.041392685,2.46 ,2.46 ,2.46 ,2.46 ,
SMART,2,Ambiguous,Form,,304,602,JNV,396,21,5,4,1,1.322219295,3.69 ,3.69 ,3.69 ,3.69 ,
SMELL,4,Ambiguous,Both,,450,582,NV,477,34,5,4,1,1.531478917,3.63 ,3.63 ,3.63 ,3.63 ,
SMOKE,3,Ambiguous,Meaning,228,541,596,NV,615,41,5,4,1,1.612783857,3.52 ,3.52 ,3.52 ,3.52 ,
SNAKE,1,Unambiguous,Unambiguous,289,621,501,N,627,44,5,4,1,1.643452676,3.06 ,3.06 ,3.06 ,3.06 ,
SNOW,2,Ambiguous,Meaning,,618,615,NV,597,59,4,3,1,1.770852012,3.20 ,3.20 ,3.20 ,3.20 ,
SOAP,1,Unambiguous,Unambiguous,222,598,594,NV,600,22,4,3,1,1.342422681,2.89 ,2.89 ,2.89 ,2.89 ,
SOCK,2,Ambiguous,Form,172,581,578,N,553,4,4,3,1,0.602059991,2.66 ,2.66 ,2.66 ,2.66 ,
SOIL,3,Ambiguous,Both,347,581,516,NV,566,54,4,3,1,1.73239376,2.60 ,2.60 ,2.60 ,2.60 ,
SOLUTION,6,Ambiguous,Both,506,388,548,N,391,59,8,7,3,1.770852012,2.91 ,2.91 ,2.91 ,2.91 ,
SON,1,Unambiguous,Unambiguous,,,607,N,560,166,3,3,1,2.220108088,4.32 ,4.32 ,4.32 ,4.32 ,
SONG,3,Ambiguous,Both,242,514,603,N,578,70,4,3,1,1.84509804,3.68 ,3.68 ,3.68 ,3.68 ,
SPACE,1,Unambiguous,Unambiguous,319,381,576,NV,538,184,5,4,1,2.264817823,3.53 ,3.53 ,3.53 ,3.53 ,
SPEECH,3,Ambiguous,Both,369,453,549,N,447,61,6,5,1,1.785329835,3.29 ,3.29 ,3.29 ,3.29 ,
SPINE,1,Unambiguous,Unambiguous,,,,N,,6,5,4,1,0.77815125,2.47 ,2.47 ,2.47 ,2.47 ,
SPOON,2,Ambiguous,Form,186,614,612,NV,584,6,5,4,1,0.77815125,2.59 ,2.59 ,2.59 ,2.59 ,
STENCH,0,None,None,,,,N,,1,6,6,1,0,,2.06 ,0.00 ,2.06 ,0
STOMACH,3,Ambiguous,Both,,617,547,NV,551,37,7,6,2,1.568201724,3.24 ,3.24 ,3.24 ,3.24 ,
STONE,2,Ambiguous,Form,,614,564,NV,585,58,5,4,1,1.763427994,3.32 ,3.32 ,3.32 ,3.32 ,
STORY,1,Unambiguous,Unambiguous,,427,578,N,491,153,5,5,2,2.184691431,4.05 ,4.05 ,4.05 ,4.05 ,
STRAW,2,Ambiguous,Meaning,289,603,508,N,568,15,5,4,1,1.176091259,2.50 ,2.50 ,2.50 ,2.50 ,
STRAWBERRY,1,Unambiguous,Unambiguous,,610,539,N,631,,10,8,3,#NUM!,2.45 ,2.45 ,2.45 ,2.45 ,
STREET,3,Ambiguous,Form,,579,602,N,577,244,6,5,1,2.387389826,3.88 ,3.88 ,3.88 ,3.88 ,
STRENGTH,2,Ambiguous,Meaning,325,339,573,N,470,136,8,6,1,2.133538908,3.28 ,3.28 ,3.28 ,3.28 ,
SUGAR,1,Unambiguous,Unambiguous,,620,608,NV,595,34,5,4,2,1.531478917,3.28 ,3.28 ,3.28 ,3.28 ,
SUIT,4,Ambiguous,Both,,545,543,NV,536,48,4,4,1,1.681241237,3.54 ,3.54 ,3.54 ,3.54 ,
SUMMER,2,Ambiguous,Form,253,439,612,N,618,134,6,4,2,2.127104798,3.60 ,3.60 ,3.60 ,3.60 ,
SUN,2,Ambiguous,Form,181,617,635,NV,639,112,3,3,1,2.049218023,3.55 ,3.55 ,3.55 ,3.55 ,
SUPPORT,1,Unambiguous,Unambiguous,,,556,NV,359,180,7,5,2,2.255272505,3.41 ,3.41 ,3.41 ,3.41 ,
SURPRISE,3,Ambiguous,Meaning,322,326,583,NV,451,51,8,6,2,1.707570176,3.66 ,3.66 ,3.66 ,3.66 ,
SWEAT,3,Ambiguous,Both,,569,545,NV,560,23,5,4,1,1.361727836,3.05 ,3.05 ,3.05 ,3.05 ,
TAG,2,Ambiguous,Meaning,,,,NV,,5,3,3,1,0.698970004,2.85 ,2.85 ,2.85 ,2.85 ,
TAIL,2,Ambiguous,Meaning,,613,533,N,551,24,4,3,1,1.380211242,3.09 ,3.09 ,3.09 ,3.09 ,
TALE,2,Ambiguous,Form,,352,499,N,363,21,4,3,1,1.322219295,2.79 ,2.79 ,2.79 ,2.79 ,
TALL,2,Ambiguous,Form,,439,585,J,514,55,4,3,1,1.740362689,3.22 ,3.22 ,3.22 ,3.22 ,
TAP,1,Unambiguous,Unambiguous,222,538,567,NV,541,18,3,3,1,1.255272505,2.88 ,2.88 ,2.88 ,2.88 ,
TASK,2,Ambiguous,Meaning,392,409,514,NV,410,60,4,4,1,1.77815125,2.81 ,2.81 ,2.81 ,2.81 ,
TASTE,5,Ambiguous,Both,,464,580,NV,425,59,5,4,1,1.770852012,3.42 ,3.42 ,3.42 ,3.42 ,
TEA,1,Unambiguous,Unambiguous,,609,572,N,599,28,3,2,1,1.447158031,3.48 ,3.48 ,3.48 ,3.48 ,
TEAR,2,Ambiguous,Form,264,504,555,NV,550,11,4,2,1,1.041392685,3.14 ,3.14 ,3.14 ,3.14 ,
TENANT,0,None,None,,,,N,,5,6,6,2,0.698970004,2.19 ,2.19 ,2.19 ,2.19 ,
TENSION,3,Ambiguous,Both,,,,N,,59,7,6,2,1.770852012,2.64 ,2.64 ,2.64 ,2.64 ,
THIEF,2,Ambiguous,Form,322,519,529,N,529,8,5,3,1,0.903089987,3.09 ,3.09 ,3.09 ,3.09 ,
THIGH,1,Unambiguous,Unambiguous,,,,N,,9,5,2,1,0.954242509,2.28 ,2.28 ,2.28 ,2.28 ,
THIN,6,Ambiguous,Both,,392,570,JV,502,92,4,3,1,1.963787827,3.01 ,3.01 ,3.01 ,3.01 ,
THING,5,Ambiguous,Both,,350,587,N,358,333,5,3,1,2.522444234,4.74 ,4.74 ,4.74 ,4.74 ,
THOUGHT,2,Ambiguous,Meaning,347,274,603,NV,348,515,7,3,1,2.711807229,4.62 ,4.62 ,4.62 ,4.62 ,
THREAD,1,Unambiguous,Unambiguous,267,607,522,NV,568,15,6,4,1,1.176091259,2.42 ,2.42 ,2.42 ,2.42 ,
THREAT,2,Ambiguous,Meaning,394,335,524,N,408,42,6,4,1,1.62324929,3.03 ,3.03 ,3.03 ,3.03 ,
THROAT,3,Ambiguous,Form,,578,548,N,561,51,6,4,1,1.707570176,3.26 ,3.26 ,3.26 ,3.26 ,
THUMB,2,Ambiguous,Form,183,638,601,NV,599,10,5,3,1,1,2.78 ,2.78 ,2.78 ,2.78 ,
TICKET,2,Ambiguous,Form,294,590,586,NV,574,16,6,5,2,1.204119983,3.37 ,3.37 ,3.37 ,3.37 ,
TIGER,2,Ambiguous,Form,,611,513,N,606,7,5,4,2,0.84509804,2.98 ,2.98 ,2.98 ,2.98 ,
TIME,1,Unambiguous,Unambiguous,,343,604,NV,413,1599,4,3,1,3.203848464,5.00 ,5.00 ,5.00 ,5.00 ,
TOBACCO,2,Ambiguous,Form,366,609,558,N,601,19,7,6,3,1.278753601,2.55 ,2.55 ,2.55 ,2.55 ,
TONGUE,2,Ambiguous,Form,,634,531,N,621,35,6,3,1,1.544068044,3.20 ,3.20 ,3.20 ,3.20 ,
TORCH,4,Ambiguous,Both,,,,N,,2,5,4,1,0.301029996,2.41 ,2.41 ,2.41 ,2.41 ,
TOUGH,7,Ambiguous,Both,,404,534,JN,486,36,5,3,1,1.556302501,3.66 ,3.66 ,3.66 ,3.66 ,
TOWEL,1,Unambiguous,Unambiguous,,,570,,570,6,5,,2,0.77815125,2.86 ,2.86 ,2.86 ,2.86 ,
TOWN,3,Ambiguous,Form,,556,589,N,553,212,4,3,1,2.326335861,4.10 ,4.10 ,4.10 ,4.10 ,
TRADE,2,Ambiguous,Meaning,,,537,NV,390,143,5,4,1,2.155336037,3.25 ,3.25 ,3.25 ,3.25 ,
TRAIN,2,Ambiguous,Meaning,,592,548,NV,593,82,5,4,1,1.913813852,3.69 ,3.69 ,3.69 ,3.69 ,
TRASH,1,Unambiguous,Unambiguous,,588,541,NV,599,2,5,4,1,0.301029996,3.06 ,3.06 ,3.06 ,3.06 ,
TREATY,2,Ambiguous,Meaning,536,361,372,N,321,20,6,5,2,1.301029996,2.38 ,2.38 ,2.38 ,2.38 ,
TREE,1,Unambiguous,Unambiguous,,604,613,NV,622,59,4,3,1,1.770852012,3.52 ,3.52 ,3.52 ,3.52 ,
TRIANGLE,2,Ambiguous,Form,,523,512,N,597,4,8,7,3,0.602059991,2.34 ,2.34 ,2.34 ,2.34 ,
TROUSERS,3,Ambiguous,Form,,,,N,,7,8,6,2,0.84509804,2.42 ,2.42 ,2.42 ,2.42 ,
TRUNK,3,Ambiguous,Meaning,328,596,485,N,529,8,5,5,1,0.903089987,3.00 ,3.00 ,3.00 ,3.00 ,
TRUTH,4,Ambiguous,Meaning,,261,581,N,374,126,5,4,1,2.100370545,3.99 ,3.99 ,3.99 ,3.99 ,
TURTLE,3,Ambiguous,Form,,644,509,N,564,8,6,4,2,0.903089987,2.94 ,2.94 ,2.94 ,2.94 ,
TWILIGHT,2,Ambiguous,Form,411,467,423,N,588,4,8,6,2,0.602059991,2.20 ,2.20 ,2.20 ,2.20 ,
TWIN,2,Ambiguous,Form,,,,NV,,7,4,4,1,0.84509804,2.73 ,2.73 ,2.73 ,2.73 ,
UMBRELLA,3,Ambiguous,Form,306,606,511,N,592,8,8,7,3,0.903089987,2.58 ,2.58 ,2.58 ,2.58 ,
UNCLE,4,Ambiguous,Both,192,580,557,N,574,57,5,4,2,1.755874856,3.80 ,3.80 ,3.80 ,3.80 ,
UNITY,3,Ambiguous,Both,,,,N,,71,5,6,3,1.851258349,2.14 ,2.14 ,2.14 ,2.14 ,
UTENSIL,2,Ambiguous,Form,,567,494,N,534,,7,7,3,#NUM!,1.11 ,1.11 ,1.11 ,1.11 ,
VASE,1,Unambiguous,Unambiguous,297,595,452,N,563,4,4,3,1,0.602059991,2.29 ,2.29 ,2.29 ,2.29 ,
VET,1,Unambiguous,Unambiguous,,485,456,NV,494,1,3,3,1,0,2.47 ,2.47 ,2.47 ,2.47 ,
VICTIM,4,Ambiguous,Form,423,467,511,N,521,27,6,6,2,1.431363764,3.39 ,3.39 ,3.39 ,3.39 ,
VILLAGE,3,Ambiguous,Form,317,576,524,N,578,72,7,5,2,1.857332496,3.23 ,3.23 ,3.23 ,3.23 ,
VIOLIN,1,Unambiguous,Unambiguous,,626,468,N,606,11,6,6,3,1.041392685,2.39 ,2.39 ,2.39 ,2.39 ,
VIRTUE,4,Ambiguous,Both,511,243,469,N,351,30,6,5,2,1.477121255,2.42 ,2.42 ,2.42 ,2.42 ,
VOICE,1,Unambiguous,Unambiguous,275,485,596,NV,489,226,5,3,1,2.354108439,3.64 ,3.64 ,3.64 ,3.64 ,
WAGE,2,Ambiguous,Form,428,451,539,NV,466,56,4,3,1,1.748188027,2.20 ,2.20 ,2.20 ,2.20 ,
WAGES,2,Ambiguous,Form,,,,,,,5,,,,2.30 ,2.30 ,2.30 ,2.30 ,
WALL,2,Ambiguous,Form,,589,596,NV,576,160,4,3,1,,3.56 ,3.56 ,3.56 ,3.56 ,
WAR,1,Unambiguous,Unambiguous,314,477,582,NV,551,464,3,2,1,,3.95 ,3.95 ,3.95 ,3.95 ,
WARMTH,1,Unambiguous,Unambiguous,,397,560,,551,28,6,,1,,2.36 ,2.36 ,2.36 ,2.36 ,
WATCH,3,Ambiguous,Both,,487,576,NV,525,81,5,4,1,,4.23 ,4.23 ,4.23 ,4.23 ,
WATER,1,Unambiguous,Unambiguous,153,616,641,NV,632,442,5,4,2,,4.06 ,4.06 ,4.06 ,4.06 ,
WAVE,6,Ambiguous,Both,,492,518,NV,542,46,4,3,1,,3.04 ,3.04 ,3.04 ,3.04 ,
WEAKNESS,5,Ambiguous,Meaning,389,257,525,,386,46,8,,2,,2.66 ,2.66 ,2.66 ,2.66 ,
WEST,5,Ambiguous,Both,342,355,563,JNV,426,235,4,4,1,,3.49 ,3.49 ,3.49 ,3.49 ,
WET,3,Ambiguous,Form,,478,585,JV,509,53,3,3,1,,3.30 ,3.30 ,3.30 ,3.30 ,
WHALE,2,Ambiguous,Form,,610,500,N,623,,5,3,1,,2.76 ,2.76 ,2.76 ,2.76 ,
WHEEL,3,Ambiguous,Form,,573,566,NV,576,56,5,3,1,,3.14 ,3.14 ,3.14 ,3.14 ,
WILL,7,Ambiguous,Both,,275,584,NV,322,2244,4,3,1,,5.03 ,5.03 ,5.03 ,5.03 ,
WIND,1,Unambiguous,Unambiguous,,552,592,NV,535,63,4,4,1,,3.48 ,3.48 ,3.48 ,3.48 ,
WINDOW,2,Ambiguous,Form,231,609,621,N,602,119,6,5,2,,3.64 ,3.64 ,3.64 ,3.64 ,
WING,2,Ambiguous,Meaning,,595,510,NV,584,18,4,3,1,,3.01 ,3.01 ,3.01 ,3.01 ,
WINTER,3,Ambiguous,Form,236,499,615,NV,621,83,6,5,2,,3.13 ,3.13 ,3.13 ,3.13 ,
WIRE,2,Ambiguous,Meaning,,585,556,NV,564,42,4,3,2,,3.15 ,3.15 ,3.15 ,3.15 ,
WISDOM,2,Ambiguous,Meaning,475,275,510,N,381,44,6,6,2,,2.75 ,2.75 ,2.75 ,2.75 ,
WISH,2,Ambiguous,Form,,270,556,NV,399,110,4,3,1,,4.08 ,4.08 ,4.08 ,4.08 ,
WOLF,1,Unambiguous,Unambiguous,,595,537,NV,610,6,4,4,1,,3.01 ,3.01 ,3.01 ,3.01 ,
WOMAN,2,Ambiguous,Meaning,258,580,623,N,626,224,5,5,2,,4.35 ,4.35 ,4.35 ,4.35 ,
WOOD,3,Ambiguous,Form,269,606,574,N,577,55,4,3,1,,3.14 ,3.14 ,3.14 ,3.14 ,
WORD,2,Ambiguous,Form,,,,NV,,274,4,3,1,,4.08 ,Lg10WF,4.08 ,#VALUE!,#VALUE!
WORLD,1,Unambiguous,Unambiguous,,532,607,N,560,787,5,4,1,,4.37 ,4.37 ,4.37 ,4.37 ,
WORTH,2,Ambiguous,Form,369,257,542,,275,94,5,,1,,3.75 ,3.75 ,3.75 ,3.75 ,
YEAR,1,Unambiguous,Unambiguous,269,364,601,N,428,660,4,2,1,,4.15 ,4.15 ,4.15 ,4.15 ,
YOUTH,5,Ambiguous,Both,431,439,551,N,507,82,5,3,1,,2.93 ,2.93 ,2.93 ,2.93 ,
